id,name,Result
87,abstract expressionism,is found in movements table
87,2525,is added in human_movement table
87,2525,is found in human_movement table
6077,Kees van Dongen,✅ Found to fetch entity
2,Fauvism,is found in movements table
2,6077,is added in human_movement table
2,6077,is found in human_movement table
122,Die Brücke,is added movements table
122,Die Brücke,is found in movements table
122,6077,is added in human_movement table
122,6077,is found in human_movement table
28875,Chris Marker,✅ Found to fetch entity
34418,Louis-Jacques-Mandé Daguerre,✅ Found to fetch entity
34722,Ai Weiwei,✅ Found to fetch entity
23,conceptual art,is found in movements table
23,34722,is added in human_movement table
23,34722,is found in human_movement table
769,Marcel Breuer,✅ Found to fetch entity
19,brutalist architecture,is found in movements table
19,769,is added in human_movement table
19,769,is found in human_movement table
3525,Wyndham Lewis,✅ Found to fetch entity
123,vorticism,is added movements table
123,vorticism,is found in movements table
123,3525,is added in human_movement table
123,3525,is found in human_movement table
6,modernism,is found in movements table
6,3525,is added in human_movement table
6,3525,is found in human_movement table
3842,Roberto Matta,✅ Found to fetch entity
3,Surrealism,is found in movements table
3,3842,is added in human_movement table
3,3842,is found in human_movement table
4762,Pierre Puvis de Chavannes,✅ Found to fetch entity
11,Symbolism,is found in movements table
11,4762,is added in human_movement table
11,4762,is found in human_movement table
5219,Oskar Schlemmer,✅ Found to fetch entity
25,Bauhaus,is found in movements table
25,5219,is added in human_movement table
25,5219,is found in human_movement table
5543,Chaim Soutine,✅ Found to fetch entity
7,Expressionism,is found in movements table
7,5543,is added in human_movement table
7,5543,is found in human_movement table
6809,John Ashbery,✅ Found to fetch entity
124,New York School,is added movements table
124,New York School,is found in movements table
124,6809,is added in human_movement table
124,6809,is found in human_movement table
3,Surrealism,is found in movements table
3,6809,is added in human_movement table
3,6809,is found in human_movement table
78,Postmodernism,is found in movements table
78,6809,is added in human_movement table
78,6809,is found in human_movement table
36259,Paul Gavarni,✅ Found to fetch entity
300,Léon Bakst,✅ Found to fetch entity
366,Georg Baselitz,✅ Found to fetch entity
2569,Erich Heckel,✅ Found to fetch entity
7,Expressionism,is found in movements table
7,2569,is added in human_movement table
7,2569,is found in human_movement table
12613,William Carlos Williams,✅ Found to fetch entity
125,modernist poetry,is added movements table
125,modernist poetry,is found in movements table
125,12613,is added in human_movement table
125,12613,is found in human_movement table
126,Imagism,is added movements table
126,Imagism,is found in movements table
126,12613,is added in human_movement table
126,12613,is found in human_movement table
32,Beat Generation,is found in movements table
32,12613,is added in human_movement table
32,12613,is found in human_movement table
127,objectivist poets,is added movements table
127,objectivist poets,is found in movements table
127,12613,is added in human_movement table
127,12613,is found in human_movement table
24575,Dziga Vertov,✅ Found to fetch entity
69618,Jerry Lewis,✅ Found to fetch entity
743,Frank Brangwyn,✅ Found to fetch entity
34,Arts and Crafts movement,is found in movements table
34,743,is added in human_movement table
34,743,is found in human_movement table
993,Leonora Carrington,✅ Found to fetch entity
3,Surrealism,is found in movements table
3,993,is added in human_movement table
3,993,is found in human_movement table
1629,Maxime Du Camp,✅ Found to fetch entity
128,literary realism,is added movements table
128,literary realism,is found in movements table
128,1629,is added in human_movement table
128,1629,is found in human_movement table
4848,Steve Reich,✅ Found to fetch entity
5902,Roland Topor,✅ Found to fetch entity
6076,Theo van Doesburg,✅ Found to fetch entity
7,Expressionism,is found in movements table
7,6076,is added in human_movement table
7,6076,is found in human_movement table
46,De Stijl,is found in movements table
46,6076,is added in human_movement table
46,6076,is found in human_movement table
23894,Carlo Gozzi,✅ Found to fetch entity
31408,Roberto Rossellini,✅ Found to fetch entity
42017,Mike Nichols,✅ Found to fetch entity
44706,Robert Bresson,✅ Found to fetch entity
84063,Alexandre Benois,✅ Found to fetch entity
107,Pierre Alechinsky,✅ Found to fetch entity
7,Expressionism,is found in movements table
7,107,is added in human_movement table
7,107,is found in human_movement table
114,COBRA,is found in movements table
114,107,is added in human_movement table
114,107,is found in human_movement table
129,Tachisme,is added movements table
129,Tachisme,is found in movements table
129,107,is added in human_movement table
129,107,is found in human_movement table
87,abstract expressionism,is found in movements table
87,107,is added in human_movement table
87,107,is found in human_movement table
130,lyrical abstraction,is added movements table
130,lyrical abstraction,is found in movements table
130,107,is added in human_movement table
130,107,is found in human_movement table
745,Brassaï (Gyula Halász),✅ Found to fetch entity
2726,Edward Hopper,✅ Found to fetch entity
131,neorealism,is added movements table
131,neorealism,is found in movements table
131,2726,is added in human_movement table
131,2726,is found in human_movement table
132,American realism,is added movements table
132,American realism,is found in movements table
132,2726,is added in human_movement table
132,2726,is found in human_movement table
133,American scene painting,is added movements table
133,American scene painting,is found in movements table
133,2726,is added in human_movement table
133,2726,is found in human_movement table
2995,Anish Kapoor,✅ Found to fetch entity
48,contemporary art,is found in movements table
48,2995,is added in human_movement table
48,2995,is found in human_movement table
3048,Ellsworth Kelly,✅ Found to fetch entity
104,Minimalism,is found in movements table
104,3048,is added in human_movement table
104,3048,is found in human_movement table
64,abstract art,is found in movements table
64,3048,is added in human_movement table
64,3048,is found in human_movement table
134,hard-edge painting,is added movements table
134,hard-edge painting,is found in movements table
134,3048,is added in human_movement table
134,3048,is found in human_movement table
3349,Wifredo Lam,✅ Found to fetch entity
3,Surrealism,is found in movements table
3,3349,is added in human_movement table
3,3349,is found in human_movement table
3671,Charles Rennie Mackintosh,✅ Found to fetch entity
34,Arts and Crafts movement,is found in movements table
34,3671,is added in human_movement table
34,3671,is found in human_movement table
4488,Eduardo Paolozzi,✅ Found to fetch entity
8,pop art,is found in movements table
8,4488,is added in human_movement table
8,4488,is found in human_movement table
48,contemporary art,is found in movements table
48,4488,is added in human_movement table
48,4488,is found in human_movement table
4975,Aleksandr Rodchenko,✅ Found to fetch entity
50,Constructivism,is found in movements table
50,4975,is added in human_movement table
50,4975,is found in human_movement table
1,Cubism,is found in movements table
1,4975,is added in human_movement table
1,4975,is found in human_movement table
89,Suprematism,is found in movements table
89,4975,is added in human_movement table
89,4975,is found in human_movement table
5685,Paul Strand,✅ Found to fetch entity
32280,Jim Jarmusch,✅ Found to fetch entity
135,No Wave Cinema,is added movements table
135,No Wave Cinema,is found in movements table
135,32280,is added in human_movement table
135,32280,is found in human_movement table
112602,F. W. Murnau,✅ Found to fetch entity
712,Margaret Bourke-White,✅ Found to fetch entity
136,unknown,is added movements table
136,unknown,is found in movements table
136,712,is added in human_movement table
136,712,is found in human_movement table
2108,Frank O. Gehry,✅ Found to fetch entity
137,postmodern architecture,is added movements table
137,postmodern architecture,is found in movements table
137,2108,is added in human_movement table
137,2108,is found in human_movement table
2948,Donald Judd,✅ Found to fetch entity
104,Minimalism,is found in movements table
104,2948,is added in human_movement table
104,2948,is found in human_movement table
5086,Edward Ruscha,✅ Found to fetch entity
8,pop art,is found in movements table
8,5086,is added in human_movement table
8,5086,is found in human_movement table
23,conceptual art,is found in movements table
23,5086,is added in human_movement table
23,5086,is found in human_movement table
5739,Graham Sutherland,✅ Found to fetch entity
6905,Damien Hirst,✅ Found to fetch entity
138,Young British Artists,is added movements table
138,Young British Artists,is found in movements table
138,6905,is added in human_movement table
138,6905,is found in human_movement table
2018,Roger Fry,✅ Found to fetch entity
139,Bloomsbury Group,is added movements table
139,Bloomsbury Group,is found in movements table
139,2018,is added in human_movement table
139,2018,is found in human_movement table
3373,Dorothea Lange,✅ Found to fetch entity
65,social realism,is found in movements table
65,3373,is added in human_movement table
65,3373,is found in human_movement table
3455,Russell Lee,✅ Found to fetch entity
65,social realism,is found in movements table
65,3455,is added in human_movement table
65,3455,is found in human_movement table
5988,Cy Twombly,✅ Found to fetch entity
87,abstract expressionism,is found in movements table
87,5988,is added in human_movement table
87,5988,is found in human_movement table
78,Postmodernism,is found in movements table
78,5988,is added in human_movement table
